DayOfYear,Hist_Avg_Rainfall,Hist_Avg_Inflow,Hist_Avg_Storage
62,0.238,2070600.0,1.0887315569160512
63,0.08099999999999999,696000.0,1.0925962708146726
64,0.064,568400.0,1.0964551111777445
65,0.171,1484800.0,1.101187139138124
66,0.233,2027100.0,1.0947760473111932
67,0.024,205900.0,1.0880691604055586
68,0.119,1032400.0,1.0792104172880908
69,0.031000000000000007,272600.0,1.071235817958835
70,0.063,542300.0,1.0626274519506693
71,0.036,316100.0,1.0546998749786594
72,0.013000000000000001,116000.0,1.04786
73,0.007000000000000001,63800.0,1.0403507789315452
74,0.159,1386200.0,1.0328917653403025
75,0.603,5249000.0,1.0271511875612531
76,0.146,1276000.0,1.0199065204682602
77,0.274,2389600.0,1.012437395806886
78,0.031,272600.0,1.005726612750848
79,0.034,298700.0,1.00145
80,0.037,324800.0,0.9939906011025285
81,0.02,171100.0,0.9871567086338093
82,0.071,620600.0,0.9807743249013152
83,0.011,98600.0,0.9743491538729948
84,0.003,20300.0,0.9669501148497004
85,0.55,4782100.0,0.9628547875601692
86,0.193,1682000.0,0.9576705480068629
87,0.14,1223800.0,0.9514333576365
88,0.039,342200.0,0.9452375546199228
89,0.047,414700.0,0.938810581567066
90,0.033,281300.0,0.9326010603236179
91,0.079,684400.0,0.9263392999175627
92,0.095,832300.0,0.9135676420207697
93,0.165,1435500.0,0.9071136750046035
94,0.01,87000.0,0.9002210942086222
95,0.041,353800.0,0.892960216040674
96,0.11300000000000002,983100.0,0.8860938989646939
97,0.748,6510500.0,0.8787893442000309
98,0.45999999999999996,4010700.0,0.8720369968633577
99,0.16099999999999998,1400700.0,0.8647985289865249
100,0.053000000000000005,458200.0,0.8576604836936672
101,0.066,580000.0,0.850347
102,0.21200000000000002,1850200.0,0.8427575198737853
103,0.21000000000000002,1827000.0,0.8356502614722994
104,0.35100000000000003,3059500.0,0.8287863546559097
105,0.096,835200.0,0.8228555375565338
106,0.118,1026600.0,0.814817822293701
107,0.119,1032400.0,0.80683
108,0.073,638000.0,0.8000046061018917
109,0.034,301600.0,0.792792466742195
110,0.053000000000000005,461100.0,0.7855784351895388
111,0.053000000000000005,455300.0,0.7785285114439684
112,0.042,362500.0,0.7716016955053929
113,0.10300000000000001,896100.0,0.7648179873738579
114,0.005,40600.0,0.757488
115,0.049,426300.0,0.7508652107687992
116,0.10900000000000001,948300.0,0.7437138996788397
117,0.294,2560700.0,0.735911305760581
118,0.644,5605700.0,0.7282918903065355
119,0.387,3375600.0,0.7218265254561387
120,0.096,838100.0,0.7141912112095268
121,0.093,812000.0,0.706307
122,0.24800000000000005,2169200.0,0.6976789102828851
123,0.094,812000.0,0.6892102324939597
124,0.063,548100.0,0.6813285905754206
125,0.125,1090400.0,0.6735579024280093
126,0.181,1577600.0,0.6656994856629151
127,0.314,2737600.0,0.6577284330201548
128,0.33999999999999997,2966700.0,0.6499150823210669
129,0.38099999999999995,3323400.0,0.6416319376429334
130,0.219,1905300.0,0.6339078210334628
131,0.849,7386300.0,0.6275273898297844
132,0.663,5771000.0,0.6205703660563734
133,0.841,7319600.0,0.6135794017432551
134,0.682,5927600.0,0.6065874968904753
135,0.541,4709600.0,0.5992967853941729
136,1.407,12240900.0,0.592530367478696
137,1.7719999999999998,15428000.0,0.5858419788829996
138,1.137,9894800.0,0.5781446817998935
139,1.737,15109000.0,0.5709297115204001
140,1.594,13867800.0,0.5643176214919281
141,0.8720000000000001,7583500.0,0.5575867109104544
142,1.366,11887100.0,0.551138
143,1.417,12325000.0,0.5451007695870491
144,1.86,16182000.0,0.5392483038396848
145,2.788,24252700.0,0.5332933502153183
146,3.148,27393400.0,0.5280021410325172
147,1.442,12542500.0,0.5225699321849102
148,1.26,10973600.0,0.51742
149,0.8720000000000001,7595100.0,0.51214
150,1.051,9140800.0,0.507011
151,0.744,6455400.0,0.5029244949878683
152,2.323,20207200.0,0.496666
153,2.693,23423300.0,0.49390999999999996
154,3.2009999999999996,27848700.0,0.48849642862921944
155,6.227,54166200.0,0.48544800000000005
156,3.7020000000000004,32207400.0,0.48109999999999997
157,2.761,24009100.0,0.47818688813076216
158,3.668,31914500.0,0.4742826004832696
159,3.103,26993200.0,0.4719807882718638
160,4.514,39268900.0,0.4698002941346748
161,5.984,52046300.0,0.4669076297657325
162,8.318,72378200.0,0.46457512469621703
163,8.344,72601500.0,0.46266999999999997
164,5.1240000000000006,44593300.0,0.4630439927092499
165,6.376,55479900.0,0.46123970297078476
166,6.412999999999999,55796000.0,0.4607902383874961
167,6.258,54456200.0,0.459544
168,4.57,39761900.0,0.45823014727850736
169,7.853,68321100.0,0.4572930497874828
170,7.258,63147500.0,0.4558649720275498
171,5.371,46719000.0,0.454381
172,5.993,52144900.0,0.45599799999999996
173,7.823,68054300.0,0.457003
174,7.912999999999999,68828600.0,0.458432
175,11.639,101270900.0,0.46050899999999995
176,11.399,99174200.0,0.46210904792643
177,10.588,92118500.0,0.46540100000000006
178,11.168,97161600.0,0.467527
179,13.024000000000001,113303000.0,0.47067
180,11.825,102886200.0,0.47132088634855435
181,10.613,92333100.0,0.475654
182,11.754,102251100.0,0.4779
183,8.668,75417400.0,0.47904099999999994
184,6.6739999999999995,58060900.0,0.479299
185,8.379999999999999,72903100.0,0.48210300000000006
186,12.55,109187900.0,0.48524399999999995
187,10.053,87469800.0,0.48801100000000003
188,13.568999999999999,118050300.0,0.49279899999999993
189,12.966,112821600.0,0.503433
190,12.233,106418400.0,0.5182399999999999
191,14.143,123041200.0,0.5304800000000001
192,12.455,108358500.0,0.5316345801157758
193,13.7,119187100.0,0.5357505306778779
194,16.374000000000002,142453800.0,0.5506505801157757
